code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Four_Wheelers_Rank,Two_Wheelers_Rank,Cyclists_Rank,Pedestrians_Rank,Others_Rank
asbtn,Bhutan,94.9,1.7,0,3.4,0,15.1,1,93,140,119,96
saarg,Argentina,88,0,2,10.1,0,13.6,2,121,76,110,117
euisl,Iceland,80,6.7,0,6.7,6.7,4.6,3,79,166,116,49
astkm,Turkmenistan,74.7,0,1.9,23.4,0,17.4,4,120,78,73,121
asqat,Qatar,71.6,0,0,28.4,0,15.2,5,154,122,55,158
afcod,Democratic Republic of the Congo,70.9,14.9,0,4.9,9.1,33.2,6,53,127,118,37
aflby,Libya,70.8,1.5,1.3,26.4,0,23.8,7,94,82,63,143
afbwa,Botswana,67.6,0,0,27.3,5.1,23.6,8,111,139,60,64
askgz,Kyrgyzstan,67.3,0,1.1,31.6,0.1,22,9,135,83,40,94
afner,Niger,67,0,0,33,0,26.4,10,161,151,34,159
eulux,Luxembourg,66.7,17.8,0,11.1,4.4,8.7,11,44,167,109,71
nacan,Canada,66.6,8.4,2.5,15.7,6.7,6,12,74,66,101,50
afzaf,South Africa,66.6,0,0,33.4,0,25.1,13,116,111,30,98
ocnzl,New Zealand,65.7,15.4,3.1,11.8,3.9,6,14,52,61,108,73
euirl,Ireland,65.4,13.8,2.7,16.5,1.6,4.1,15,58,64,95,83
nausa,United States of America,64.4,14.8,2.2,14.1,4.5,10.6,16,54,73,103,68
asomn,Oman,64.3,2.3,2.6,23.2,7.6,25.4,17,90,65,75,46
asjor,Jordan,64.3,0,0,35.7,0,26.3,18,138,164,25,127
ocaus,Australia,64.2,17.9,4.2,13.2,0.6,5.4,19,43,53,106,91
eubgr,Bulgaria,62.9,8.7,5.2,18.1,5.2,8.3,20,71,46,90,62
octon,Tonga,62.5,0,0,37.5,0,7.6,21,126,107,21,123
astjk,Tajikistan,62.5,0,4.2,33.3,0,18.8,22,123,52,33,118
eufin,Finland,62.4,11.2,7.8,13.2,5.4,4.8,23,64,28,105,60
asaze,Azerbaijan,62.1,0.5,0.3,30.5,6.7,10,24,100,94,45,51
afnam,Namibia,61.7,0.6,0.6,32.1,4.9,23.9,25,98,89,39,65
eunor,Norway,61,12.8,5.3,9.6,11.2,3.8,26,62,45,112,29
askaz,Kazakhstan,60.5,2.3,1.1,22.5,13.5,24.2,27,89,84,79,26
asbhr,Bahrain,59.3,3.5,5.8,31.4,0,8,28,86,42,41,120
eurus,Russian Federation,57.3,4.3,1.7,28.9,7.8,18.9,29,85,80,53,44
euswe,Sweden,57.3,16.5,5.4,16.2,4.6,2.8,30,49,44,98,67
asare,United Arab Emirates,57.3,2.6,0.3,26.1,13.7,10.9,31,88,93,66,25
aflso,Lesotho,56.9,1.2,0.6,30.3,11,28.2,32,96,91,46,30
sabol,Bolivia (Plurinational State of),56.1,9.9,0.9,32.5,0.6,23.2,33,67,86,37,92
asarm,Armenia,54.7,0,0.3,35.8,9.2,18.3,34,115,96,24,36
euhrv,Croatia,54.3,17.1,6.3,18.8,3.5,9.2,35,46,38,87,77
eubih,Bosnia and Herzegovina,52.6,9.1,11,27.3,0,17.7,36,70,17,59,99
eubel,Belgium,51.9,15.9,10.1,13.7,8.4,6.7,37,51,19,104,40
eualb,Albania,50.8,13.2,4.1,31.2,0.7,15.1,38,61,55,42,89
euest,Estonia,50.6,6.2,11.1,28.4,3.7,7,39,80,15,54,76
eudnk,Denmark,50.3,13.6,17.3,17.8,1,3.5,40,59,3,92,87
eufra,France,49.3,24.2,4.5,14.2,7.8,5.1,41,28,51,102,45
eublr,Belarus,49.2,0,7.9,41.6,1.2,13.7,42,125,27,12,84
aftun,Tunisia,48.6,20.5,2.5,28.2,0,24.4,43,35,67,56,107
afegy,Egypt,48.6,0.6,6.3,29.2,15.3,12.8,44,99,37,51,21
afzmb,Zambia,48.4,2.2,11.6,36.4,0,24.7,45,91,9,22,112
ocpng,Papua New Guinea,48.4,0,0,29,22.6,16.8,46,127,134,52,16
eudeu,Germany,47.6,19.2,10.6,16.7,6,4.3,47,41,18,94,54
eucze,Czechia,47.1,11,11.3,24.8,5.8,6.1,48,65,12,71,56
asmng,Mongolia,47,19.3,0.2,30.6,2.9,21,49,39,97,44,79
euesp,Spain,46.7,21.1,4.1,22.5,5.6,3.7,50,34,54,80,57
eugbr,United Kingdom of Great Britain and Northern Ireland,46.3,19.3,6.4,22.9,5.2,2.9,51,40,36,77,63
eusrb,Serbia,46.2,8.6,9.1,26.9,9.2,7.7,52,72,22,61,35
eusvk,Slovakia,45.8,8.4,6.8,30.3,8.8,6.6,53,73,35,47,39
eusvn,Slovenia,45.6,16.8,12.8,16,8.8,6.4,54,47,8,99,38
euita,Italy,45.4,25.5,7.4,16.2,5.5,6.1,55,27,31,97,59
asgeo,Georgia,44.7,3.1,0.6,24.3,27.2,11.8,56,87,90,72,11
eumne,Montenegro,44.6,9.5,1.4,20.3,24.3,11.9,57,68,81,84,14
ocvut,Vanuatu,44.4,0,0,55.6,0,16.6,58,110,108,6,116
eumlt,Malta,44.4,27.8,0,27.8,0,5.1,59,25,158,57,137
euprt,Portugal,44.3,20.4,4.6,22.6,8.2,7.8,60,36,49,78,42
eurou,Romania,44,4.7,8.5,39,3.8,8.7,61,83,25,17,75
eugrc,Greece,43.9,32.5,2.1,17.2,4.3,9.1,62,20,74,93,72
eupol,Poland,43.1,9.4,9.1,34,4.4,10.3,63,69,23,29,70
euhun,Hungary,43,13.9,11.5,24.9,6.8,7.7,64,57,11,70,48
eultu,Lithuania,43,7.4,7,37.5,4.7,10.6,65,76,34,20,66
euaut,Austria,42.4,21.5,11.2,18,5.9,5.4,66,32,14,91,55
eulva,Latvia,42,7.4,7.4,39.8,3.4,10,67,75,32,16,78
asbgd,Bangladesh,41.5,10.8,1.8,32.2,13.7,13.6,68,66,79,38,24
asirn,Iran (Islamic Republic of),41.3,21.5,0.7,23.2,13.4,32.1,69,31,87,76,27
asisr,Israel,41.2,14.1,4.7,32.9,7.2,3.6,70,55,48,35,47
eumda,Republic of Moldova,41.1,11.9,6,32.8,8.3,12.5,71,63,40,36,41
occok,Cook Islands,40,60,0,0,0,24.2,72,7,129,120,160
ocfji,Fiji,39,0,2.4,58.5,0,5.8,73,142,68,5,147
eucyp,Cyprus,38.6,34.1,4.5,18.2,4.5,5.2,74,18,50,89,69
euche,Switzerland,38.3,20.4,6.3,25.7,9.3,3.3,75,38,39,69,34
