code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Four_Wheelers_Rank,Two_Wheelers_Rank,Cyclists_Rank,Pedestrians_Rank,Others_Rank
eunld,Netherlands,36.5,13.5,32.3,9.8,7.9,3.4,76,60,2,111,43
sachl,Chile,36.1,7,7.6,38.9,10.4,12.4,77,77,30,19,32
afmar,Morocco,35.9,21.2,5.9,26.2,10.9,20.8,78,33,41,64,31
sasur,Suriname,35.5,42.1,3.9,18.4,0,19.1,79,15,56,88,102
aftza,United Republic of Tanzania,35,21.7,11.2,31.2,0.9,32.9,80,30,13,43,88
afken,Kenya,34.3,4.9,14.4,46.4,0,29.1,81,82,6,9,156
ocmhl,Marshall Islands,33.3,66.7,0,0,0,5.7,82,5,157,151,136
askor,Republic of Korea,33.2,16.3,5.5,38.9,6.1,12,83,50,43,18,52
afmwi,Malawi,32.5,1.3,17.2,49.1,0,35,84,95,4,8,140
asjpn,Japan,32.4,17.4,13.7,36.2,0.3,4.7,85,45,7,23,93
asmmr,Myanmar,26,23,9,26,16,20.3,86,29,24,68,20
saury,Uruguay,25.9,52.9,2.8,15.7,2.6,16.6,87,10,62,100,80
aferi,Eritrea,25.7,0,7.4,39.9,27,24.1,88,139,33,15,12
asphl,Philippines,25.3,52.5,2,19,1.1,10.5,89,11,75,86,85
astur,Turkey,25,4.3,0.9,26.2,43.6,8.9,90,84,85,65,7
saguy,Guyana,25,18.8,11.6,34.8,9.8,17.3,91,42,10,27,33
afsyc,Seychelles,25,0,0,75,0,8.6,92,104,112,3,126
afstp,Sao Tome and Principe,25,32.1,0,42.9,0,31.1,93,21,106,11,151
afgha,Ghana,24.2,14,3.7,41.5,16.7,26.2,94,56,57,13,18
asmys,Malaysia,23.7,62.1,2.2,6.6,5.5,24,95,6,72,117,58
sabra,Brazil,23.5,28,3.3,19.7,25.5,23.4,96,24,60,85,13
sapry,Paraguay,23.4,54.1,0.7,20.7,1.1,20.7,97,9,88,83,86
afmus,Mauritius,22.8,30.9,9.6,34.6,2.2,12.2,98,22,20,28,81
afzwe,Zimbabwe,20.5,6.2,3.6,16.5,53.3,28.2,99,81,58,96,6
aschn,China,19.2,26.8,8.1,26.1,19.8,18.8,100,26,26,67,17
afmli,Mali,18.7,20.4,0,27.4,33.5,25.6,101,37,159,58,10
aslao,Lao People's Democratic Republic,18.7,66.9,2.7,9.6,2.1,14.3,102,4,63,113,82
assgp,Singapore,17.5,45.6,9.4,26.9,0.6,3.6,103,13,21,62,90
asind,India,17.2,33.9,3.5,9.1,36.2,16.6,104,19,59,114,8
asmdv,Maldives,16.7,16.7,16.7,33.3,16.7,3.5,105,48,5,32,19
afben,Benin,15.5,55.8,2.3,21.1,5.3,27.7,106,8,71,81,61
astha,Thailand,13,72.8,2.3,8.1,3.8,36.2,107,2,70,115,74
askhm,Cambodia,8.5,70.4,2.3,12.7,6.1,17.4,108,3,69,107,53
sacol,Colombia,7.6,44.3,5,29.3,13.8,16.8,109,14,47,50,23
afuga,Uganda,7.2,30.6,7.6,40.2,14.5,27.4,110,23,29,14,22
saper,Peru,6.9,1,0.3,23.3,68.4,13.9,111,97,95,74,1
asidn,Indonesia,6,36,2,21,35,15.3,112,17,77,82,9
aslka,Sri Lanka,5.7,40.8,11,29.8,12.7,17.4,113,16,16,49,28
saecu,Ecuador,2.2,6.9,0.5,30,60.3,20.1,114,78,92,48,4
euukr,Ukraine,0,0,0,0,0,10.6,115,101,105,130,119
afsdn,Sudan,0,0,0,33.4,66.6,24.3,116,122,103,31,2
saven,Venezuela (Bolivarian Republic of),0,0,0,0,0,45.1,117,109,117,137,115
asvnm,Viet Nam,0,0,0,0,0,24.5,118,108,101,138,114
euand,Andorra,0,50,0,50,0,7.6,119,12,142,7,111
asuzb,Uzbekistan,0,0,0,0,0,11.2,120,113,102,135,109
asyem,Yemen,0,0,0,0,0,21.5,121,107,120,139,113
afssd,South Sudan,0,0,0,0,0,27.9,122,118,114,165,97
afago,Angola,0,1.9,0,35.4,62.7,26.9,123,92,141,26,3
afsom,Somalia,0,0,0,0,0,25.4,124,102,119,163,100
ocslb,Solomon Islands,0,0,0,0,0,19.2,125,112,118,162,101
aftgo,Togo,0,0,0,0,0,31.1,126,114,113,123,124
afdza,Algeria,0,0,0,0,0,23.8,127,117,143,140,110
assyr,Syrian Arab Republic,0,0,0,0,0,20,128,124,98,126,108
octls,Timor-Leste,0,0,0,0,0,16.6,129,119,116,122,125
afmrt,Mauritania,0,0,0,0,0,24.5,130,148,156,150,135
afsle,Sierra Leone,0,0,0,0,0,27.3,131,105,115,160,105
afgnb,Guinea-Bissau,0,0,0,0,0,27.5,132,144,147,161,139
afgmb,Gambia,0,0,0,0,0,29.4,133,146,145,166,132
afgab,Gabon,0,0,0,0,0,22.9,134,143,144,142,131
afeth,Ethiopia,0,0,0,0,0,25.3,135,141,124,156,148
afgnq,Equatorial Guinea,0,0,0,0,0,22.9,136,134,125,143,165
afdji,Djibouti,0,0,0,0,0,24.7,137,130,126,131,164
asprk,Democratic People's Republic of Korea,0,0,0,0,0,20.8,138,147,128,125,161
afcog,Congo,0,0,0,0,0,26.4,139,166,130,121,150
afcom,Comoros,0,0,0,0,0,28,140,165,131,127,157
aftcd,Chad,0,0,0,0,0,24.1,141,162,132,124,155
afcaf,Central African Republic,0,0,0,0,0,32.4,142,157,123,129,153
afcmr,Cameroon,0,0,0,0,0,27.6,143,156,133,141,122
afcpv,Cabo Verde,0,0,0,0,0,26.1,144,155,135,132,104
afbdi,Burundi,0,0,0,0,0,31.3,145,153,136,133,103
afbfa,Burkina Faso,0,0,0,0,0,30,146,129,137,134,106
asbrn,Brunei Darussalam,0,0,0,0,0,8,147,106,138,136,95
afgin,Guinea,0,0,0,0,0,27.3,148,145,146,164,138
asirq,Iraq,0,0,0,0,0,20.2,149,140,165,159,142
afsen,Senegal,0,0,0,0,0,27.2,150,103,110,157,128
ockir,Kiribati,0,0,33.3,66.7,0,2.9,151,137,1,4,146
assau,Saudi Arabia,0,0,0,0,0,27.4,152,128,109,155,129
eusmr,San Marino,0,100,0,0,0,3.2,153,1,99,144,152
ocwsm,Samoa,0,0,0,76.5,23.5,15.8,154,151,100,2,15
afrwa,Rwanda,0,0,0,0,0,32.1,155,152,104,153,154
ocplw,Palau,0,0,0,100,0,4.8,156,150,148,1,162
aspak,Pakistan,0,0,0,0,0,14.2,157,158,149,128,163
afnga,Nigeria,0,0,0,0,0,20.5,158,160,150,145,166
asnpl,Nepal,0,0,0,0,0,17,159,163,152,146,149
afmoz,Mozambique,0,0,0,0,0,31.6,160,164,153,147,130
eumco,Monaco,0,0,0,0,0,0,161,159,154,148,133
ocfsm,Micronesia (Federated States of),0,0,0,0,0,1.9,162,149,155,149,134
afmdg,Madagascar,0,0,0,0,0,28.4,163,131,160,152,141
aflbr,Liberia,0,0,0,0,0,33.7,164,132,161,154,144
aslbn,Lebanon,0,0,0,43.3,56.7,22.6,165,133,162,10,5
askwt,Kuwait,0,0,0,0,0,18.7,166,136,163,158,145
asafg,Afghanistan,0,0,0,0,0,15.5,167,167,121,167,167
