code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Four_Wheelers_Rank,Two_Wheelers_Rank,Cyclists_Rank,Pedestrians_Rank,Others_Rank
OCFJI,Fiji,39,0,2.4,58.5,0,5.8,71,148,67,5,132
EUCYP,Cyprus,38.6,34.1,4.5,18.2,4.5,5.2,72,18,51,89,67
EUCHE,Switzerland,38.3,20.4,6.3,25.7,9.3,3.3,73,37,37,69,34
EUNLD,Netherlands,36.5,13.5,32.3,9.8,7.9,3.4,74,59,2,109,43
SACHL,Chile,36.1,7,7.6,38.9,10.4,12.4,75,75,30,18,32
AFMAR,Morocco,35.9,21.2,5.9,26.2,10.9,20.8,76,33,41,64,31
SASUR,Suriname,35.5,42.1,3.9,18.4,0,19.1,77,15,56,88,104
AFTZA,United Republic of Tanzania,35,21.7,11.2,31.2,0.9,32.9,78,30,14,43,86
AFKEN,Kenya,34.3,4.9,14.4,46.4,0,29.1,79,80,6,9,141
OCMHL,Marshall Islands,33.3,66.7,0,0,0,5.7,80,5,127,143,129
ASKOR,Republic of Korea,33.2,16.3,5.5,38.9,6.1,12,81,50,43,19,52
AFMWI,Malawi,32.5,1.3,17.2,49.1,0,35,82,93,4,8,133
ASJPN,Japan,32.4,17.4,13.7,36.2,0.3,4.7,83,45,7,23,91
ASMMR,Myanmar,26,23,9,26,16,20.3,84,29,24,68,20
SAURY,Uruguay,25.9,52.9,2.8,15.7,2.6,16.6,85,10,62,100,78
AFERI,Eritrea,25.7,0,7.4,39.9,27,24.1,86,160,33,15,12
ASPHL,Philippines,25.3,52.5,2,19,1.1,10.5,87,11,74,86,84
ASTUR,Turkey,25,4.3,0.9,26.2,43.6,8.9,88,82,83,65,7
SAGUY,Guyana,25,18.8,11.6,34.8,9.8,17.3,89,42,10,27,33
AFSTP,Sao Tome and Principe,25,32.1,0,42.9,0,31.1,90,21,123,11,126
AFSYC,Seychelles,25,0,0,75,0,8.6,91,126,98,3,99
AFGHA,Ghana,24.2,14,3.7,41.5,16.7,26.2,92,55,57,13,19
ASMYS,Malaysia,23.7,62.1,2.2,6.6,5.5,24,93,6,71,115,58
SABRA,Brazil,23.5,28,3.3,19.7,25.5,23.4,94,24,60,85,13
SAPRY,Paraguay,23.4,54.1,0.7,20.7,1.1,20.7,95,9,85,83,83
AFMUS,Mauritius,22.8,30.9,9.6,34.6,2.2,12.2,96,22,20,28,79
AFZWE,Zimbabwe,20.5,6.2,3.6,16.5,53.3,28.2,97,78,58,95,6
ASCHN,China,19.2,26.8,8.1,26.1,19.8,18.8,98,26,26,67,17
ASLAO,Lao People's Democratic Republic,18.7,66.9,2.7,9.6,2.1,14.3,99,4,64,110,80
AFMLI,Mali,18.7,20.4,0,27.4,33.5,25.6,100,36,129,58,10
ASSGP,Singapore,17.5,45.6,9.4,26.9,0.6,3.6,101,13,21,62,90
ASIND,India,17.2,33.9,3.5,9.1,36.2,16.6,102,19,59,112,8
ASMDV,Maldives,16.7,16.7,16.7,33.3,16.7,3.5,103,48,5,33,18
AFBEN,Benin,15.5,55.8,2.3,21.1,5.3,27.7,104,8,69,81,60
ASTHA,Thailand,13,72.8,2.3,8.1,3.8,36.2,105,2,70,113,72
ASKHM,Cambodia,8.5,70.4,2.3,12.7,6.1,17.4,106,3,68,105,51
SACOL,Colombia,7.6,44.3,5,29.3,13.8,16.8,107,14,47,50,23
AFUGA,Uganda,7.2,30.6,7.6,40.2,14.5,27.4,108,23,29,14,22
SAPER,Peru,6.9,1,0.3,23.3,68.4,13.9,109,95,93,74,1
ASIDN,Indonesia,6,36,2,21,35,15.3,110,17,75,82,9
ASLKA,Sri Lanka,5.7,40.8,11,29.8,12.7,17.4,111,16,16,49,28
SAECU,Ecuador,2.2,6.9,0.5,30,60.3,20.1,112,76,90,48,4
AFSDN,Sudan,0,0,0,33.4,66.6,24.3,113,101,122,31,2
AFCMR,Cameroon,0,0,0,0,0,27.6,114,109,151,120,152
AFTCD,Chad,0,0,0,0,0,24.1,115,152,157,121,125
AFCOM,Comoros,0,0,0,0,0,28,116,153,160,124,155
ASSYR,Syrian Arab Republic,0,0,0,0,0,20,117,121,121,119,123
AFCAF,Central African Republic,0,0,0,0,0,32.4,118,130,152,118,153
OCTLS,Timor-Leste,0,0,0,0,0,16.6,119,111,120,122,120
AFTGO,Togo,0,0,0,0,0,31.1,120,125,106,123,119
EUMCO,Monaco,0,0,0,0,0,0,121,136,147,125,146
AFCPV,Cabo Verde,0,0,0,0,0,26.1,122,108,149,126,151
AFBDI,Burundi,0,0,0,0,0,31.3,123,107,148,127,149
AFCOG,Congo,0,0,0,0,0,26.4,124,155,162,137,148
EUUKR,Ukraine,0,0,0,0,0,10.6,125,120,117,130,105
AFBFA,Burkina Faso,0,0,0,0,0,30,126,99,100,128,93
ASBRN,Brunei Darussalam,0,0,0,0,0,8,127,100,102,129,101
AFAGO,Angola,0,1.9,0,35.4,62.7,26.9,128,90,115,26,3
ASUZB,Uzbekistan,0,0,0,0,0,11.2,129,118,114,132,111
EUAND,Andorra,0,50,0,50,0,7.6,130,12,108,7,113
SAVEN,Venezuela (Bolivarian Republic of),0,0,0,0,0,45.1,131,116,112,133,109
ASVNM,Viet Nam,0,0,0,0,0,24.5,132,115,111,134,108
ASYEM,Yemen,0,0,0,0,0,21.5,133,114,110,135,107
AFDZA,Algeria,0,0,0,0,0,23.8,134,119,109,136,112
AFSSD,South Sudan,0,0,0,0,0,27.9,135,103,107,139,96
AFDJI,Djibouti,0,0,0,0,0,24.7,136,157,131,138,157
AFSOM,Somalia,0,0,0,0,0,25.4,137,105,103,164,98
AFGNB,Guinea-Bissau,0,0,0,0,0,27.5,138,138,124,151,144
OCFSM,Micronesia (Federated States of),0,0,0,0,0,1.9,139,137,145,162,145
AFMRT,Mauritania,0,0,0,0,0,24.5,140,139,144,141,128
ASNPL,Nepal,0,0,0,0,0,17,141,147,161,144,162
AFMDG,Madagascar,0,0,0,0,0,28.4,142,143,132,145,134
AFNGA,Nigeria,0,0,0,0,0,20.5,143,164,158,146,160
AFLBR,Liberia,0,0,0,0,0,33.7,144,146,134,148,136
ASLBN,Lebanon,0,0,0,43.3,56.7,22.6,145,102,135,10,5
ASPAK,Pakistan,0,0,0,0,0,14.2,146,163,156,147,158
OCPLW,Palau,0,0,0,100,0,4.8,147,162,155,1,156
ASKWT,Kuwait,0,0,0,0,0,18.7,148,144,137,149,139
OCKIR,Kiribati,0,0,33.3,66.7,0,2.9,149,142,1,4,140
ASIRQ,Iraq,0,0,0,0,0,20.2,150,140,142,150,103
AFGIN,Guinea,0,0,0,0,0,27.3,151,135,153,140,143
OCSLB,Solomon Islands,0,0,0,0,0,19.2,152,106,105,163,102
AFGMB,Gambia,0,0,0,0,0,29.4,153,134,141,152,138
AFGAB,Gabon,0,0,0,0,0,22.9,154,132,140,154,137
AFRWA,Rwanda,0,0,0,0,0,32.1,155,129,146,155,150
OCWSM,Samoa,0,0,0,76.5,23.5,15.8,156,154,125,2,15
EUSMR,San Marino,0,100,0,0,0,3.2,157,1,119,156,127
AFETH,Ethiopia,0,0,0,0,0,25.3,158,149,138,159,131
ASSAU,Saudi Arabia,0,0,0,0,0,27.4,159,151,104,157,121
AFSEN,Senegal,0,0,0,0,0,27.2,160,131,101,158,124
AFGNQ,Equatorial Guinea,0,0,0,0,0,22.9,161,159,136,160,147
AFSLE,Sierra Leone,0,0,0,0,0,27.3,162,128,96,161,95
AFMOZ,Mozambique,0,0,0,0,0,31.6,163,133,163,142,164
ASPRK,Democratic People's Republic of Korea,0,0,0,0,0,20.8,164,156,126,153,163
ASAFG,Afghanistan,0,0,0,0,0,15.5,165,165,165,165,165
