code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Pedestrians_Rank
EUBGR,Bulgaria,62.9,8.7,5.2,18.1,5.2,8.3,90
EUAUT,Austria,42.4,21.5,11.2,18,5.9,5.4,91
EUDNK,Denmark,50.3,13.6,17.3,17.8,1,3.5,92
EUGRC,Greece,43.9,32.5,2.1,17.2,4.3,9.1,93
EUDEU,Germany,47.6,19.2,10.6,16.7,6,4.3,94
EUIRL,Ireland,65.4,13.8,2.7,16.5,1.6,4.1,95
AFZWE,Zimbabwe,20.5,6.2,3.6,16.5,53.3,28.2,96
EUITA,Italy,45.4,25.5,7.4,16.2,5.5,6.1,97
EUSWE,Sweden,57.3,16.5,5.4,16.2,4.6,2.8,98
EUSVN,Slovenia,45.6,16.8,12.8,16,8.8,6.4,99
SAURY,Uruguay,25.9,52.9,2.8,15.7,2.6,16.6,100
NACAN,Canada,66.6,8.4,2.5,15.7,6.7,6,101
EUFRA,France,49.3,24.2,4.5,14.2,7.8,5.1,102
NAUSA,United States of America,64.4,14.8,2.2,14.1,4.5,10.6,103
EUBEL,Belgium,51.9,15.9,10.1,13.7,8.4,6.7,104
EUFIN,Finland,62.4,11.2,7.8,13.2,5.4,4.8,105
OCAUS,Australia,64.2,17.9,4.2,13.2,0.6,5.4,106
ASKHM,Cambodia,8.5,70.4,2.3,12.7,6.1,17.4,107
OCNZL,New Zealand,65.7,15.4,3.1,11.8,3.9,6,108
EULUX,Luxembourg,66.7,17.8,0,11.1,4.4,8.7,109
SAARG,Argentina,88,0,2,10.1,0,13.6,110
EUNLD,Netherlands,36.5,13.5,32.3,9.8,7.9,3.4,111
EUNOR,Norway,61,12.8,5.3,9.6,11.2,3.8,112
ASLAO,Lao People's Democratic Republic,18.7,66.9,2.7,9.6,2.1,14.3,113
ASIND,India,17.2,33.9,3.5,9.1,36.2,16.6,114
ASTHA,Thailand,13,72.8,2.3,8.1,3.8,36.2,115
EUISL,Iceland,80,6.7,0,6.7,6.7,4.6,116
ASMYS,Malaysia,23.7,62.1,2.2,6.6,5.5,24,117
AFCOD,Democratic Republic of the Congo,70.9,14.9,0,4.9,9.1,33.2,118
ASBTN,Bhutan,94.9,1.7,0,3.4,0,15.1,119
OCCOK,Cook Islands,40,60,0,0,0,24.2,120
AFCOG,Congo,0,0,0,0,0,26.4,121
OCTLS,Timor-Leste,0,0,0,0,0,16.6,122
AFTGO,Togo,0,0,0,0,0,31.1,123
AFTCD,Chad,0,0,0,0,0,24.1,124
ASPRK,Democratic People's Republic of Korea,0,0,0,0,0,20.8,125
ASSYR,Syrian Arab Republic,0,0,0,0,0,20,126
AFCOM,Comoros,0,0,0,0,0,28,127
ASPAK,Pakistan,0,0,0,0,0,14.2,128
AFCAF,Central African Republic,0,0,0,0,0,32.4,129
EUUKR,Ukraine,0,0,0,0,0,10.6,130
AFDJI,Djibouti,0,0,0,0,0,24.7,131
AFCPV,Cabo Verde,0,0,0,0,0,26.1,132
AFBDI,Burundi,0,0,0,0,0,31.3,133
AFBFA,Burkina Faso,0,0,0,0,0,30,134
ASUZB,Uzbekistan,0,0,0,0,0,11.2,135
ASBRN,Brunei Darussalam,0,0,0,0,0,8,136
SAVEN,Venezuela (Bolivarian Republic of),0,0,0,0,0,45.1,137
ASVNM,Viet Nam,0,0,0,0,0,24.5,138
ASYEM,Yemen,0,0,0,0,0,21.5,139
AFDZA,Algeria,0,0,0,0,0,23.8,140
AFCMR,Cameroon,0,0,0,0,0,27.6,141
AFGAB,Gabon,0,0,0,0,0,22.9,142
AFGNQ,Equatorial Guinea,0,0,0,0,0,22.9,143
EUSMR,San Marino,0,100,0,0,0,3.2,144
AFNGA,Nigeria,0,0,0,0,0,20.5,145
ASNPL,Nepal,0,0,0,0,0,17,146
AFMOZ,Mozambique,0,0,0,0,0,31.6,147
EUMCO,Monaco,0,0,0,0,0,0,148
OCFSM,Micronesia (Federated States of),0,0,0,0,0,1.9,149
AFMRT,Mauritania,0,0,0,0,0,24.5,150
OCMHL,Marshall Islands,33.3,66.7,0,0,0,5.7,151
AFMDG,Madagascar,0,0,0,0,0,28.4,152
AFRWA,Rwanda,0,0,0,0,0,32.1,153
AFLBR,Liberia,0,0,0,0,0,33.7,154
ASSAU,Saudi Arabia,0,0,0,0,0,27.4,155
AFETH,Ethiopia,0,0,0,0,0,25.3,156
AFSEN,Senegal,0,0,0,0,0,27.2,157
ASKWT,Kuwait,0,0,0,0,0,18.7,158
ASIRQ,Iraq,0,0,0,0,0,20.2,159
AFSLE,Sierra Leone,0,0,0,0,0,27.3,160
AFGNB,Guinea-Bissau,0,0,0,0,0,27.5,161
OCSLB,Solomon Islands,0,0,0,0,0,19.2,162
AFSOM,Somalia,0,0,0,0,0,25.4,163
AFGIN,Guinea,0,0,0,0,0,27.3,164
AFSSD,South Sudan,0,0,0,0,0,27.9,165
AFGMB,Gambia,0,0,0,0,0,29.4,166
ASAFG,Afghanistan,0,0,0,0,0,15.5,167
