code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Four_Wheelers_Rank
AFERI,Eritrea,25.7,0,7.4,39.9,27,24.1,88
ASPHL,Philippines,25.3,52.5,2,19,1.1,10.5,89
ASTUR,Turkey,25,4.3,0.9,26.2,43.6,8.9,90
SAGUY,Guyana,25,18.8,11.6,34.8,9.8,17.3,91
AFSYC,Seychelles,25,0,0,75,0,8.6,92
AFSTP,Sao Tome and Principe,25,32.1,0,42.9,0,31.1,93
AFGHA,Ghana,24.2,14,3.7,41.5,16.7,26.2,94
ASMYS,Malaysia,23.7,62.1,2.2,6.6,5.5,24,95
SABRA,Brazil,23.5,28,3.3,19.7,25.5,23.4,96
SAPRY,Paraguay,23.4,54.1,0.7,20.7,1.1,20.7,97
AFMUS,Mauritius,22.8,30.9,9.6,34.6,2.2,12.2,98
AFZWE,Zimbabwe,20.5,6.2,3.6,16.5,53.3,28.2,99
ASCHN,China,19.2,26.8,8.1,26.1,19.8,18.8,100
AFMLI,Mali,18.7,20.4,0,27.4,33.5,25.6,101
ASLAO,Lao People's Democratic Republic,18.7,66.9,2.7,9.6,2.1,14.3,102
ASSGP,Singapore,17.5,45.6,9.4,26.9,0.6,3.6,103
ASIND,India,17.2,33.9,3.5,9.1,36.2,16.6,104
ASMDV,Maldives,16.7,16.7,16.7,33.3,16.7,3.5,105
AFBEN,Benin,15.5,55.8,2.3,21.1,5.3,27.7,106
ASTHA,Thailand,13,72.8,2.3,8.1,3.8,36.2,107
ASKHM,Cambodia,8.5,70.4,2.3,12.7,6.1,17.4,108
SACOL,Colombia,7.6,44.3,5,29.3,13.8,16.8,109
AFUGA,Uganda,7.2,30.6,7.6,40.2,14.5,27.4,110
SAPER,Peru,6.9,1,0.3,23.3,68.4,13.9,111
ASIDN,Indonesia,6,36,2,21,35,15.3,112
ASLKA,Sri Lanka,5.7,40.8,11,29.8,12.7,17.4,113
SAECU,Ecuador,2.2,6.9,0.5,30,60.3,20.1,114
EUUKR,Ukraine,0,0,0,0,0,10.6,115
AFSDN,Sudan,0,0,0,33.4,66.6,24.3,116
SAVEN,Venezuela (Bolivarian Republic of),0,0,0,0,0,45.1,117
ASVNM,Viet Nam,0,0,0,0,0,24.5,118
EUAND,Andorra,0,50,0,50,0,7.6,119
ASUZB,Uzbekistan,0,0,0,0,0,11.2,120
ASYEM,Yemen,0,0,0,0,0,21.5,121
AFSSD,South Sudan,0,0,0,0,0,27.9,122
AFAGO,Angola,0,1.9,0,35.4,62.7,26.9,123
AFSOM,Somalia,0,0,0,0,0,25.4,124
OCSLB,Solomon Islands,0,0,0,0,0,19.2,125
AFTGO,Togo,0,0,0,0,0,31.1,126
AFDZA,Algeria,0,0,0,0,0,23.8,127
ASSYR,Syrian Arab Republic,0,0,0,0,0,20,128
OCTLS,Timor-Leste,0,0,0,0,0,16.6,129
AFMRT,Mauritania,0,0,0,0,0,24.5,130
AFSLE,Sierra Leone,0,0,0,0,0,27.3,131
AFGNB,Guinea-Bissau,0,0,0,0,0,27.5,132
AFGMB,Gambia,0,0,0,0,0,29.4,133
AFGAB,Gabon,0,0,0,0,0,22.9,134
AFETH,Ethiopia,0,0,0,0,0,25.3,135
AFGNQ,Equatorial Guinea,0,0,0,0,0,22.9,136
AFDJI,Djibouti,0,0,0,0,0,24.7,137
ASPRK,Democratic People's Republic of Korea,0,0,0,0,0,20.8,138
AFCOG,Congo,0,0,0,0,0,26.4,139
AFCOM,Comoros,0,0,0,0,0,28,140
AFTCD,Chad,0,0,0,0,0,24.1,141
AFCAF,Central African Republic,0,0,0,0,0,32.4,142
AFCMR,Cameroon,0,0,0,0,0,27.6,143
AFCPV,Cabo Verde,0,0,0,0,0,26.1,144
AFBDI,Burundi,0,0,0,0,0,31.3,145
AFBFA,Burkina Faso,0,0,0,0,0,30,146
ASBRN,Brunei Darussalam,0,0,0,0,0,8,147
AFGIN,Guinea,0,0,0,0,0,27.3,148
ASIRQ,Iraq,0,0,0,0,0,20.2,149
AFSEN,Senegal,0,0,0,0,0,27.2,150
OCKIR,Kiribati,0,0,33.3,66.7,0,2.9,151
ASSAU,Saudi Arabia,0,0,0,0,0,27.4,152
EUSMR,San Marino,0,100,0,0,0,3.2,153
OCWSM,Samoa,0,0,0,76.5,23.5,15.8,154
AFRWA,Rwanda,0,0,0,0,0,32.1,155
OCPLW,Palau,0,0,0,100,0,4.8,156
ASPAK,Pakistan,0,0,0,0,0,14.2,157
AFNGA,Nigeria,0,0,0,0,0,20.5,158
ASNPL,Nepal,0,0,0,0,0,17,159
AFMOZ,Mozambique,0,0,0,0,0,31.6,160
EUMCO,Monaco,0,0,0,0,0,0,161
OCFSM,Micronesia (Federated States of),0,0,0,0,0,1.9,162
AFMDG,Madagascar,0,0,0,0,0,28.4,163
AFLBR,Liberia,0,0,0,0,0,33.7,164
ASLBN,Lebanon,0,0,0,43.3,56.7,22.6,165
ASKWT,Kuwait,0,0,0,0,0,18.7,166
ASAFG,Afghanistan,0,0,0,0,0,15.5,167
